"","run","subid","sequence","country","age","gender","englishNative","ethnicity","education","religionChild","religionNow","job","comments","phase","predicate","trialNum","leftCharacter","rightCharacter","response","rt","country_selfrep","responseNum"
"113","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","feelings",12,"dog","baby","both equally",1355,"USA",0
"114","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","feelings",13,"car","kid","much more right",1171,"USA",2
"115","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","feelings",14,"stapler","baby","much more right",1020,"USA",2
"116","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","feelings",15,"bug","bear","both equally",1274,"USA",0
"117","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","feelings",16,"grownup","kid","both equally",1332,"USA",0
"118","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","feelings",17,"dog","robot","much more left",1364,"USA",-2
"119","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","hunger",18,"stapler","car","both equally",1637,"USA",0
"120","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","hunger",19,"grownup","bear","both equally",2309,"USA",0
"121","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","hunger",20,"baby","bug","both equally",724,"USA",0
"122","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","hunger",21,"stapler","bear","much more right",1610,"USA",2
"123","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","hunger",22,"computer","robot","both equally",2011,"USA",0
"124","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","hunger",23,"car","dog","much more right",1364,"USA",2
"125","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","hunger",24,"robot","kid","much more right",1174,"USA",2
"126","us_run_01","us_run_01_6","sequence3","us",61,"male","yes_only","white","college_assocDegree","other","other","Computer Operator","No problems, fun survey","practice","colder",1,"pizza","icecream","much more right",7687,"USA",2
"127","us_run_01","us_run_01_6","sequence3","us",61,"male","yes_only","white","college_assocDegree","other","other","Computer Operator","No problems, fun survey","practice","sweeter",2,"strawberries","grapes","both equally",14195,"USA",0
"128","us_run_01","us_run_01_6","sequence3","us",61,"male","yes_only","white","college_assocDegree","other","other","Computer Operator","No problems, fun survey","test","feelings",3,"robot","car","both equally",8085,"USA",0
